
---------------------------------------------- [malloc] [cover]
22-May 19:17:40 test137         0.4 sec     3: 11404 of 25105  54.6%     7.85/s
22-May 19:17:41 test137         0.0 sec     2: 11402 of 25105  54.6%   304.37/s
22-May 19:17:41 test139         0.3 sec     2: 11400 of 25105  54.6%     5.91/s
22-May 19:17:42 test172         0.1 sec     3: 11397 of 25105  54.6%    39.62/s
22-May 19:17:43 test148         0.8 sec     4: 11393 of 25105  54.6%     5.21/s
22-May 19:17:44 test157         0.6 sec    12: 11381 of 25105  54.7%    19.43/s
22-May 19:17:46 test182         0.9 sec     5: 11376 of 25105  54.7%     5.33/s
22-May 19:17:47 test108         0.6 sec     2: 11374 of 25105  54.7%     3.30/s
22-May 19:17:48 test108         0.2 sec     2: 11372 of 25105  54.7%    11.63/s
22-May 19:17:49 test130         0.8 sec    22: 11350 of 25105  54.8%    27.11/s
22-May 19:17:50 test124         0.2 sec     3: 11347 of 25105  54.8%    16.60/s
22-May 19:17:50 test138         0.0 sec     1: 11346 of 25105  54.8%    20.13/s
22-May 19:17:56 test227         4.7 sec    27: 11319 of 25105  54.9%     5.75/s
22-May 19:18:26 test125        29.7 sec   618: 10701 of 25105  57.4%    20.83/s
22-May 19:20:59 test234       152.8 sec   385: 10316 of 25105  58.9%     2.52/s
22-May 19:22:11 test234        70.8 sec     3: 10313 of 25105  58.9%     0.04/s
22-May 19:23:00 test242        48.4 sec    77: 10236 of 25105  59.2%     1.59/s
22-May 19:23:02 test173         1.5 sec    11: 10225 of 25105  59.3%     7.11/s
22-May 19:23:05 test200         3.2 sec    10: 10215 of 25105  59.3%     3.14/s
22-May 19:23:06 test197         0.1 sec     1: 10214 of 25105  59.3%     7.37/s
22-May 19:23:08 test84          1.3 sec    18: 10196 of 25105  59.4%    13.55/s
22-May 19:23:14 test19b         5.9 sec    59: 10137 of 25105  59.6%    10.04/s
22-May 19:23:15 test133         0.4 sec     2: 10135 of 25105  59.6%     5.20/s
22-May 19:23:20 test80          4.3 sec    12: 10123 of 25105  59.7%     2.78/s
22-May 19:23:40 test23         19.1 sec   148:  9975 of 25105  60.3%     7.75/s
22-May 19:23:43 test135         2.0 sec     7:  9968 of 25105  60.3%     3.59/s
22-May 19:25:02 test160        78.5 sec    24:  9944 of 25105  60.4%     0.31/s
22-May 19:25:08 test54          5.2 sec    20:  9924 of 25105  60.5%     3.81/s
22-May 19:25:09 test129         1.1 sec     4:  9920 of 25105  60.5%     3.49/s
22-May 19:25:12 test69          2.0 sec     6:  9914 of 25105  60.5%     3.03/s
22-May 19:26:46 test230        93.7 sec   114:  9800 of 25105  61.0%     1.22/s
22-May 19:39:09 test74        742.1 sec  6637:  3163 of 25105  87.4%     8.94/s
22-May 19:42:59 test127       229.7 sec  1703:  1460 of 25105  94.2%     7.41/s
22-May 19:43:03 test19          3.2 sec    12:  1448 of 25105  94.2%     3.74/s
22-May 19:43:08 test11          3.7 sec     3:  1445 of 25105  94.2%     0.81/s
